Zeit;Kanal A
(ms);(mV)

-21,69849914;-0,93073320
-21,69349914;0,00000000
-21,68849914;-0,74434050
-21,68349914;0,18577760
-21,67849914;-0,74434050
-21,67349914;-0,74434050
-21,66849914;0,00000000
-21,66349914;0,18577760
-21,65849914;-0,55794780
-21,65349914;-0,93073320
-21,64849914;-1,86146600
-21,64349914;-1,67507400
-21,63849914;-1,30290300
-21,63349914;-1,30290300
-21,62849914;-0,93073320
-21,62349914;-0,37217020
-21,61849914;0,00000000
-21,61349914;-2,04724400
-21,60849914;-0,55794780
-21,60349914;-0,55794780
-21,59849914;-2,60580700
-21,59349914;-1,86146600
-21,58849914;-2,23363700
-21,58349914;-1,11651100
-21,57849914;-1,86146600
-21,57349914;-1,86146600
-21,56849914;-2,04724400
-21,56349914;-1,30290300
-21,55849914;-1,30290300
-21,55349914;-1,67507400
-21,54849914;-2,23363700
-21,54349914;-1,48868100
-21,53849914;-4,09510300
-21,53349914;-2,04724400
-21,52849914;-3,16437000
-21,52349914;-1,67507400
-21,51849914;-2,97797700
-21,51349914;-2,60580700
-21,50849914;-2,97797700
-21,50349914;-1,86146600
-21,49849914;-3,16437000
-21,49349914;-3,53654000
-21,48849914;-2,23363700
-21,48349914;-3,90871000
-21,47849914;-3,35014700
-21,47349914;-3,16437000
-21,46849914;-3,16437000
-21,46349914;-3,16437000
-21,45849914;-2,60580700
-21,45349914;-3,53654000
-21,44849914;-2,97797700
-21,44349914;-3,90871000
-21,43849914;-2,60580700
-21,43349914;-4,09510300
-21,42849914;-2,97797700
-21,42349914;-5,21222900
-21,41849914;-2,97797700
-21,41349914;-3,90871000
-21,40849914;-3,72293300
-21,40349914;-4,65366600
-21,39849914;-5,21222900
-21,39349914;-5,21222900
-21,38849914;-5,58439900
-21,38349914;-5,39800700
-21,37849914;-4,09510300
-21,37349914;-6,88730300
-21,36849914;-5,95657000
-21,36349914;-6,51513300
-21,35849914;-5,58439900
-21,35349914;-6,32874000
-21,34849914;-6,51513300
-21,34349914;-6,70091000
-21,33849914;-6,70091000
-21,33349914;-5,02583600
-21,32849914;-5,77017700
-21,32349914;-4,83944400
-21,31849914;-7,81803600
-21,31349915;-6,88730300
-21,30849915;-6,70091000
-21,30349915;-7,63164300
-21,29849915;-6,88730300
-21,29349915;-6,70091000
-21,28849915;-7,25947300
-21,28349915;-6,70091000
-21,27849915;-5,95657000
-21,27349915;-6,70091000
-21,26849915;-6,14296200
-21,26349915;-6,51513300
-21,25849915;-5,21222900
-21,25349915;-6,51513300
-21,24849915;-5,39800700
-21,24349915;-5,39800700
-21,23849915;-4,83944400
-21,23349915;-4,83944400
-21,22849915;-3,90871000
-21,22349915;-3,53654000
-21,21849915;-4,83944400
-21,21349915;-5,02583600
-21,20849915;-5,21222900
-21,20349915;-4,28149600
-21,19849915;-4,83944400
-21,19349915;-5,77017700
-21,18849915;-4,83944400
-21,18349915;-6,51513300
-21,17849915;-5,95657000
-21,17349915;-6,88730300
-21,16849915;-6,70091000
-21,16349915;-6,51513300
-21,15849915;-7,81803600
-21,15349915;-5,77017700
-21,14849915;-6,51513300
-21,14349915;-7,07369500
-21,13849915;-6,70091000
-21,13349915;-6,88730300
-21,12849915;-7,63164300
-21,12349915;-7,81803600
-21,11849915;-8,74876900
-21,11349915;-8,93516300
-21,10849915;-9,86589500
-21,10349915;-8,00442800
-21,09849915;-9,49372500
-21,09349915;-7,81803600
-21,08849915;-7,81803600
-21,08349915;-8,93516300
-21,07849915;-8,19020700
-21,07349915;-8,56299200
-21,06849915;-7,07369500
-21,06349915;-8,00442800
-21,05849915;-6,88730300
-21,05349915;-8,19020700
-21,04849915;-7,25947300
-21,04349915;-7,44586600
-21,03849915;-5,39800700
-21,03349915;-6,32874000
-21,02849915;-6,32874000
-21,02349915;-8,19020700
-21,01849915;-5,95657000
-21,01349915;-5,77017700
-21,00849915;-6,14296200
-21,00349915;-4,83944400
-20,99849915;-6,32874000
-20,99349915;-5,58439900
-20,98849915;-6,51513300
-20,98349915;-6,32874000
-20,97849915;-6,88730300
-20,97349915;-5,39800700
-20,96849915;-5,58439900
-20,96349915;-5,39800700
-20,95849915;-4,83944400
-20,95349915;-3,72293300
-20,94849915;-4,83944400
-20,94349915;-5,21222900
-20,93849915;-2,60580700
-20,93349915;-3,90871000
-20,92849915;-2,79220000
-20,92349915;-3,53654000
-20,91849916;-2,79220000
-20,91349916;-2,23363700
-20,90849916;-2,04724400
-20,90349916;-2,23363700
-20,89849916;-2,97797700
-20,89349916;-2,97797700
-20,88849916;-2,79220000
-20,88349916;-2,23363700
-20,87849916;-2,23363700
-20,87349916;-2,04724400
-20,86849916;-2,23363700
-20,86349916;-1,67507400
-20,85849916;-1,30290300
-20,85349916;-1,48868100
-20,84849916;-1,67507400
-20,84349916;-0,93073320
-20,83849916;-1,67507400
-20,83349916;-2,23363700
-20,82849916;-2,60580700
-20,82349916;-1,11651100
-20,81849916;-1,11651100
-20,81349916;0,18577760
-20,80849916;-0,74434050
-20,80349916;-1,30290300
-20,79849916;-1,30290300
-20,79349916;-1,30290300
-20,78849916;-1,11651100
-20,78349916;-1,11651100
-20,77849916;-0,93073320
-20,77349916;-0,74434050
-20,76849916;-0,37217020
-20,76349916;-1,48868100
-20,75849916;-0,37217020
-20,75349916;-1,30290300
-20,74849916;-1,67507400
-20,74349916;-1,30290300
-20,73849916;-2,23363700
-20,73349916;-0,18577760
-20,72849916;0,55794780
-20,72349916;-1,11651100
-20,71849916;-1,67507400
-20,71349916;-0,74434050
-20,70849916;-0,74434050
-20,70349916;-0,93073320
-20,69849916;-0,74434050
-20,69349916;0,18577760
-20,68849916;-2,41941400
-20,68349916;0,00000000
-20,67849916;-1,67507400
-20,67349916;-1,48868100
-20,66849916;-1,86146600
-20,66349916;-0,74434050
-20,65849916;-0,55794780
-20,65349916;0,18577760
-20,64849916;0,00000000
-20,64349916;-2,04724400
-20,63849916;-0,93073320
-20,63349916;-1,11651100
-20,62849916;-1,11651100
-20,62349916;0,00000000
-20,61849916;-1,11651100
-20,61349916;0,74434050
-20,60849916;-2,04724400
-20,60349916;-0,74434050
-20,59849916;-2,23363700
-20,59349916;-1,30290300
-20,58849916;-0,74434050
-20,58349916;-0,74434050
-20,57849916;-0,55794780
-20,57349916;-0,74434050
-20,56849916;0,55794780
-20,56349916;-1,11651100
-20,55849916;-1,11651100
-20,55349916;-0,37217020
-20,54849916;-1,30290300
-20,54349916;-0,74434050
-20,53849916;-2,04724400
-20,53349916;-0,55794780
-20,52849916;-0,55794780
-20,52349916;-1,30290300
-20,51849917;-0,37217020
-20,51349917;-1,11651100
-20,50849917;0,55794780
-20,50349917;-1,67507400
-20,49849917;-1,67507400
-20,49349917;-0,74434050
-20,48849917;-2,41941400
-20,48349917;-1,86146600
-20,47849917;-1,48868100
-20,47349917;-2,04724400
-20,46849917;-2,23363700
-20,46349917;-1,86146600
-20,45849917;-1,67507400
-20,45349917;-1,67507400
