Zeit;Kanal A
(ms);(V)

41,24999896;1,16916800
41,29999896;1,18774600
41,34999896;1,16916800
41,39999895;1,16916800
41,44999895;1,16916800
41,49999895;1,18774600
41,54999895;1,16916800
41,59999895;1,16916800
41,64999895;1,18774600
41,69999895;1,16916800
41,74999895;1,16916800
41,79999894;1,18774600
41,84999894;1,16916800
41,89999894;1,18774600
41,94999894;1,18774600
41,99999894;1,18774600
42,04999894;1,18774600
42,09999894;1,18774600
42,14999894;1,18774600
42,19999893;1,16916800
42,24999893;1,16916800
42,29999893;1,16916800
42,34999893;1,16916800
42,39999893;1,16916800
42,44999893;1,16916800
42,49999893;1,16916800
42,54999893;1,18774600
42,59999892;1,16916800
42,64999892;1,18774600
42,69999892;1,18774600
42,74999892;1,18774600
42,79999892;1,18774600
42,84999892;1,16916800
42,89999892;1,16916800
42,94999891;1,18774600
42,99999891;1,18774600
43,04999891;1,18774600
43,09999891;1,18774600
43,14999891;1,18774600
43,19999891;1,16916800
43,24999891;1,16916800
43,29999891;1,16916800
43,34999890;1,16916800
43,39999890;1,18774600
43,44999890;1,18774600
43,49999890;1,18774600
43,54999890;1,18774600
43,59999890;1,18774600
43,64999890;1,16916800
43,69999890;1,16916800
43,74999889;1,18774600
43,79999889;1,18774600
43,84999889;1,16916800
43,89999889;1,18774600
43,94999889;1,16916800
43,99999889;1,18774600
44,04999889;1,18774600
44,09999889;1,18774600
44,14999888;1,18774600
44,19999888;1,16916800
44,24999888;1,18774600
44,29999888;1,16916800
44,34999888;1,16916800
44,39999888;1,16916800
44,44999888;1,18774600
44,49999888;1,16916800
44,54999887;1,16916800
44,59999887;1,18774600
44,64999887;1,18774600
44,69999887;1,18774600
44,74999887;1,18774600
44,79999887;1,18774600
44,84999887;1,16916800
44,89999887;1,18774600
44,94999886;1,18774600
44,99999886;1,18774600
45,04999886;1,18774600
45,09999886;1,18774600
45,14999886;1,18774600
45,19999886;1,16916800
45,24999886;1,16916800
45,29999886;1,16916800
45,34999885;1,16916800
45,39999885;1,16916800
45,44999885;1,18774600
45,49999885;1,16916800
45,54999885;1,18774600
45,59999885;1,16916800
45,64999885;1,16916800
45,69999885;1,18774600
45,74999884;1,16916800
45,79999884;1,16916800
45,84999884;1,18774600
45,89999884;1,18774600
45,94999884;1,18774600
45,99999884;1,18774600
46,04999884;1,16916800
46,09999884;1,18774600
46,14999883;1,16916800
46,19999883;1,16916800
46,24999883;1,16916800
46,29999883;1,16916800
46,34999883;1,16916800
46,39999883;1,16916800
46,44999883;1,16916800
46,49999883;1,18774600
46,54999882;1,18774600
46,59999882;1,18774600
46,64999882;1,18774600
46,69999882;1,16916800
46,74999882;1,18774600
46,79999882;1,18774600
46,84999882;1,16916800
46,89999882;1,16916800
46,94999881;1,18774600
46,99999881;1,18774600
47,04999881;1,18774600
47,09999881;1,18774600
47,14999881;1,16916800
47,19999881;1,16916800
47,24999881;1,16916800
47,29999881;1,16916800
47,34999880;1,18774600
47,39999880;1,18774600
47,44999880;1,18774600
47,49999880;1,18774600
47,54999880;1,16916800
47,59999880;1,18774600
47,64999880;1,16916800
47,69999879;1,18774600
47,74999879;1,16916800
47,79999879;1,16916800
47,84999879;1,18774600
47,89999879;1,18774600
47,94999879;1,18774600
47,99999879;1,18774600
48,04999879;1,16916800
48,09999878;1,16916800
48,14999878;1,18774600
48,19999878;1,16916800
48,24999878;1,18774600
48,29999878;1,16916800
48,34999878;1,16916800
48,39999878;1,16916800
48,44999878;1,18774600
48,49999877;1,16916800
48,54999877;1,18774600
48,59999877;1,16916800
48,64999877;1,18774600
48,69999877;1,18774600
48,74999877;1,16916800
48,79999877;1,18774600
48,84999877;1,18774600
48,89999876;1,18774600
48,94999876;1,18774600
48,99999876;1,18774600
49,04999876;1,18774600
49,09999876;1,16916800
49,14999876;1,16916800
49,19999876;1,16916800
49,24999876;1,16916800
49,29999875;1,16916800
49,34999875;1,18774600
49,39999875;1,16916800
49,44999875;1,18774600
49,49999875;1,18774600
49,54999875;1,16916800
49,59999875;1,18774600
49,64999875;1,16916800
49,69999874;1,18774600
49,74999874;1,18774600
49,79999874;1,16916800
49,84999874;1,18774600
49,89999874;1,18774600
49,94999874;1,18774600
49,99999874;1,18774600
50,04999874;1,16916800
50,09999873;1,18774600
50,14999873;1,16916800
